bench, mem, temp, row_size, row_count, col_width, cycles
q2_new, d, -, 64, 43690, 4, 176018, 655392, 809, 87650, 43768, 1354465
q2_new, r, c, 64, 43690, 4, 147540, 611693, 109, 11001, 5475, 1223378
q2_new, r, h, 64, 43690, 4, 146469, 611693, 103, 10978, 2072, 1223378
q2_new, d, -, 64, 43690, 4, 235306, 655392, 5791, 87795, 43772, 1354467
q2_new, r, c, 64, 43690, 4, 147530, 611693, 103, 10980, 5474, 1223378
q2_new, r, h, 64, 43690, 4, 146304, 611693, 103, 10972, 2068, 1223378
q2_new, d, -, 64, 43690, 4, 178339, 655393, 818, 87667, 43750, 1354467
q2_new, r, c, 64, 43690, 4, 149414, 611692, 114, 10998, 5476, 1223378
q2_new, r, h, 64, 43690, 4, 146532, 611693, 117, 11007, 2241, 1223378
q2_new, d, -, 64, 43690, 4, 178300, 655393, 914, 87854, 43776, 1354467
q2_new, r, c, 64, 43690, 4, 150215, 611693, 128, 11004, 5475, 1223379
q2_new, r, h, 64, 43690, 4, 146433, 611693, 104, 10979, 2174, 1223378
q2_new, d, -, 64, 43690, 4, 178391, 655392, 812, 87653, 43758, 1354466
q2_new, r, c, 64, 43690, 4, 149859, 611693, 106, 10984, 5474, 1223380
q2_new, r, h, 64, 43690, 4, 146303, 611693, 105, 10978, 2390, 1223378
q2_new, d, -, 64, 43690, 4, 178416, 655393, 815, 87666, 43764, 1354467
q2_new, r, c, 64, 43690, 4, 152299, 611694, 126, 11024, 5474, 1223381
q2_new, r, h, 64, 43690, 4, 146309, 611693, 111, 10991, 1727, 1223378
q2_new, d, -, 64, 43690, 4, 179025, 655392, 924, 87820, 43769, 1354466
q2_new, r, c, 64, 43690, 4, 147547, 611693, 108, 10988, 5476, 1223378
q2_new, r, h, 64, 43690, 4, 146317, 611693, 103, 10977, 1695, 1223378
q2_new, d, -, 64, 43690, 4, 182439, 655392, 814, 87667, 43789, 1354468
q2_new, r, c, 64, 43690, 4, 156225, 611694, 281, 11020, 5479, 1223380
